"Species","Common","IUIS Allergen","Type","Group","Length","GI#","First Version"
"Dermatophagoides pteronyssinus","House dust mite","Der p 7","Aero Mite","Dermatophagoides Der p 7 /  Der f 7","215","10189811","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 7 /  Der f 7","215","1352240","9"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 8","219","60920878","7"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 8","219","1170095","9"
"Dermatophagoides pteronyssinus","House dust mite","Unassigned","Aero Mite","Dermatophagoides farinae Der f 18 Der p chitinase","462","67975085","7"
"Dermatophagoides siboney","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","86450747","7"
"Euroglyphus maynei","House dust mite","Eur m 2.0102","Aero Mite","Euroglyphus Eur m 2","135","3941386","7"
"Euroglyphus maynei","House dust mite","Eur m 2","Aero Mite","Euroglyphus Eur m 2","145","14423649","7"
"Apis cerana","Indian honeybee","Unassigned","Venom or Salivary","Apis Api m 1","134","7435005","7"
"Apis cerana cerana","Indian honeybee","Unassigned","Venom or Salivary","Apis Api m 1","134","24638082","7"
"Plodia interpunctella","Indian meal moth","Unassigned","Aero Insect","Plodia Plo i 1 Arginine kinase","355","15886861","7"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria class IV chitinase","281","56550550","7"
"Cryptomeria japonica","Japanese cedar","Cry j 1","Aero Plant","Cryptomeria Cry j 1","374","1173367","7"
"Cryptomeria japonica","Japanese cedar","Cry j 1","Aero Plant","Cryptomeria Cry j 1","374","19570315","7"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 1","374","493634","8"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","1171004","7"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","24898904","7"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","24898906","7"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","24898908","7"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841607","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841617","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841629","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841635","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841641","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841653","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841657","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841663","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841665","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841671","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","65","123299282","9"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Isoflavone reductase-like protein","306","19847822","7"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria pollen allergen CJP-8","165","291621332","12"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria pollen allergen CPA63","472","293329689","12"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria thaumatin like Cry j 3.8","225","139002766","8"
"Chamaecyparis obtusa","Japanese cypress","Unassigned","Aero Plant","Chamaecyparis Cha o 1","375","9087163","9"
"Chamaecyparis obtusa","Japanese cypress","Unassigned","Aero Plant","Chamaecyparis Cha o 2","514","47606004","7"
"Chamaecyparis obtusa","Japanese cypress","Unassigned","Aero Plant","Chamaecyparis Cha o 2","419","114841683","8"
"Todarodes pacificus","Japanese flying squid","Unassigned","Food Animal","Todarodes tropomyosin","284","83715932","7"
"Humulus japonicus","Japanese hop","Hum j 1","Aero Plant","Humulus Humj1","155","33113263","7"
"Humulus scandens","Japanese hop","Unassigned","Aero Plant","Humulus profilin-like protein","131","34851176","7"
"Humulus scandens","Japanese hop","Unassigned","Aero Plant","Humulus profilin-like protein","131","34851174","7"
"Batillus cornutus","Japanese turban shell","Unassigned","Food Animal","Batillus Tur c1","20","47117350","7"
"Batillus cornutus","Japanese turban shell","Unassigned","Food Animal","Batillus Tur c1","27","47117351","7"
"Batillus cornutus","Japanese turban shell","Unassigned","Food Animal","Batillus Tur c1","284","219806588","10"
"Betula platyphylla","Japanese white birch","Unassigned","Aero Plant","Betula Bet v 1","160","12583681","7"
"Betula platyphylla","Japanese white birch","Unassigned","Aero Plant","Betula Bet v 1","160","12583683","7"
"Betula platyphylla","Japanese white birch","Unassigned","Aero Plant","Betula Bet v 1","160","12583685","7"
"Myrmecia pilosula","Jumper ant","Myr p 1","Venom or Salivary","Myrmecia Myr p 1","112","730091","7"
"Myrmecia pilosula","Jumper ant","Unassigned","Venom or Salivary","Myrmecia Myr p 1","112","1911819","7"
"Myrmecia pilosula","Jumper ant","Myr p 2","Venom or Salivary","Myrmecia Myr p 2","75","1587177","7"
"Myrmecia pilosula","Jumper ant","Myr p 2","Venom or Salivary","Myrmecia Myr p 2","75","2498604","7"
"Juniperus oxycedrus","Juniper","Unassigned","Aero Plant","Juniperus Jun a/v 1","367","15139849","7"
"Juniperus oxycedrus","Juniper","Unassigned","Aero Plant","Juniperus Jun o 4","165","14423843","8"
"Poa pratensis","Kentucky bluegrass","Unassigned","Aero Plant","Poa group II","122","4007655","7"
"Poa pratensis","Kentucky bluegrass","Poa p 1","Aero Plant","Poa Poa p 1","20","280414","7"
"Poa pratensis","Kentucky bluegrass","Poa p 1","Aero Plant","Poa Poa p 1","26","320620","7"
"Poa pratensis","Kentucky bluegrass","Poa p 1","Aero Plant","Poa Poa p 1","263","4090265","7"
"Poa pratensis","Kentucky bluegrass","Poa p 5","Aero Plant","Poa Poa p 5","303","11991227","7"
"Poa pratensis","Kentucky bluegrass","Unassigned","Aero Plant","Poa Poa p 9","373","113560","7"
"Poa pratensis","Kentucky bluegrass","Unassigned","Aero Plant","Poa Poa p 9","307","113562","7"
"Poa pratensis","Kentucky bluegrass","Unassigned","Aero Plant","Poa Poa p 9","131","539056","7"
"Poa pratensis","Kentucky bluegrass","Unassigned","Aero Plant","Poa Poa p 9","333","113561","7"
"Phaseolus vulgaris","Kidney bean","Unassigned","Food Plant","Phaseolus Pha v 3","115","289064177","11"
"Phaseolus vulgaris","Kidney bean","Unassigned","Food Plant","Phaseolus Pha v 3","118","289064179","11"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1","380","190358935","9"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act c 8 Act d 8 PR-10","159","281552896","11"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Kiwellin","189","85701136","7"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia thaumatin Act d 2","20","68064399","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1","380","15984","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1","380","166317","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1","380","193806686","12"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 8 Act d 8 PR-10","157","281552898","11"
"Actinidia deliciosa","Kiwi","Unassigned","Unassigned","Actinidia Act d 11 Kirola MLP","150","332319679","12"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Phytocystatin Act d 4","116","40807635","7"
"Actinidia deliciosa","Kiwi","Act c 2","Food Plant","Actinidia thaumatin Act d 2","225","71057064","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia thaumatin Act d 2","201","146737976","9"
"Citrus limon","Lemon","Unassigned","Food Plant","Citrus LTP Cit s 3","20","52783176","7"
"Lens culinaris","Lentil","Len c 1.0101","Food Plant","Lens Len c 1","418","29539109","7"
"Lens culinaris","Lentil","Len c 1.0102","Food Plant","Lens Len c 1","415","29539111","7"
"Syringa vulgaris","Lilac","Syr v 1.0101","Aero Plant","Syringa Syr v I","145","631911","7"
"Syringa vulgaris","Lilac","Syr v 1.0102","Aero Plant","Syringa Syr v I","145","631912","7"
"Syringa vulgaris","Lilac","Syr v 1.0103","Aero Plant","Syringa Syr v I","145","631913","7"
"Panulirus stimpsoni","Lobster","Unassigned","Food Animal","Panulirus Pan s 1","274","14285797","7"
"Platanus x acerifolia","London plane tree","Unassigned","Aero Plant","Platanus Pla a 1","179","29839547","9"
"Platanus x acerifolia","London plane tree","Pla a 2","Aero Plant","Platanus Pla a 2","377","49523394","7"
"Litchi chinensis","Lychee nut","Lit c 1","Food Plant","Litchi Lit c 1","131","15809696","7"
"Litchi chinensis","Lychee nut","Unassigned","Food Plant","Litchi Lit c 1","131","83317152","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0101","Aero Plant","Cupressus Cup a 1","367","8101711","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0102","Aero Plant","Cupressus Cup a 1","367","8101713","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0103","Aero Plant","Cupressus Cup a 1","367","8101715","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0104","Aero Plant","Cupressus Cup a 1","367","8101717","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0105","Aero Plant","Cupressus Cup a 1","367","8101719","7"
"Cupressus sempervirens","Mediterranean Cypress","Unassigned","Aero Plant","Cupressus Cup s 3","225","38456230","7"
"Cupressus sempervirens","Mediterranean Cypress","Unassigned","Aero Plant","Cupressus Cup s 3","225","38456228","7"
"Chironomus kiiensis","Midge","Unassigned","Aero Insect","Chironomus Chi k 10","285","42559556","9"
"Chironomus thummi thummi","Midge","Chi t 1.01","Aero Insect","Chironomus Chi t 1","151","121219","7"
"Chironomus thummi thummi","Midge","Chi t 1.02","Aero Insect","Chironomus Chi t 1","151","121227","7"
"Chironomus thummi thummi","Midge","Chi t 2","Aero Insect","Chironomus Chi t 2","158","2506460","7"
"Chironomus thummi thummi","Midge","Chi t 3","Aero Insect","Chironomus Chi t 3","160","1707908","7"
"Chironomus thummi thummi","Midge","Chi t 4","Aero Insect","Chironomus Chi t 4","151","121256","7"
"Chironomus thummi thummi","Midge","Chi t 5","Aero Insect","Chironomus Chi t 5","162","2506461","7"
"Chironomus thummi thummi","Midge","Chi t 7","Aero Insect","Chironomus Chi t 7","161","56405052","7"
"Chironomus thummi thummi","Midge","Chi t 7","Aero Insect","Chironomus Chi t 7","161","121244","7"
"Chironomus thummi thummi","Midge","Chi t 7","Aero Insect","Chironomus Chi t 7","161","56405054","7"
"Chironomus thummi thummi","Midge","Chi t 7","Aero Insect","Chironomus Chi t 7","161","121248","7"
"Chironomus thummi thummi","Midge","Chi t 7","Aero Insect","Chironomus Chi t 7","162","121249","7"
"Chironomus thummi thummi","Midge","Chi t 8","Aero Insect","Chironomus Chi t 8","151","121237","7"
"Chironomus thummi thummi","Midge","Chi t 9","Aero Insect","Chironomus Chi t 9","151","121259","7"
"Acarus siro","Mite","Unassigned","Aero Mite","Acarus Aca s 13","131","118638268","9"
"Blomia tropicalis","Mite","Blo t 1","Aero Mite","Blomia Blo t 1.01","221","14276828","7"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 1.02","333","33667928","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 1.02","333","2","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 10","284","156938889","9"
"Blomia tropicalis","Mite","Blo t 11","Aero Mite","Blomia Blo t 11","875","21954740","7"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 13.01","130","37958153","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 13.01","130","14423698","9"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 21 tentative","129","111120432","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 21 tentative","129","111494253","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 21 tentative","129","111120424","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 21 tentative","129","111120428","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 21 tentative","129","111120420","8"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 3","266","25989482","7"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 3","266","33667930","8"
"Blomia tropicalis","Mite","Blo t 5","Aero Mite","Blomia Blo t 5","134","4204917","7"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 5","134","111120436","9"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 5","134","111120450","9"
"Blomia tropicalis","Mite","Unassigned","Aero Mite","Blomia Blo t 5","119","160285626","9"
"Juniperus ashei","Mountain cedar","Unassigned","Aero Plant","Juniperus Jun a 2","507","47606048","9"
"Juniperus ashei","Mountain cedar","Unassigned","Aero Plant","Juniperus Jun a 3","225","9087177","8"
"Juniperus ashei","Mountain cedar","Unassigned","Aero Plant","Juniperus Jun a/v 1","367","9087152","9"
"Mus musculus","Mouse","Mus m 1","Aero Animal","Mus Mus m 1","180","20178291","7"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Amb a 1-like","396","62530263","8"
"Artemisia vulgaris","Mugwort","Art v 1","Aero Plant","Artemisia Art v 1","132","27818335","7"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 2","162","148887203","9"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 3","37","73621307","7"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 3","114","189544578","11"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 3","116","189544584","11"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 3","117","189544590","11"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 3","117","189544595","11"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 4","133","73621415","7"
"Artemisia vulgaris","Mugwort","Unassigned","Aero Plant","Artemisia Art v 4","133","73621416","7"
"Cucumis melo","Muskmelon","Unassigned","Food Plant","Cucumis Cuc m 1","731","71153243","9"
"Cucumis melo","Muskmelon","Cuc m 2","Food Plant","Cucumis Cuc m 2","131","31559374","7"
"Cucumis melo","Muskmelon","Cuc m 2","Food Plant","Cucumis Cuc m 2","131","58263793","7"
"Cucumis melo","Muskmelon","Cuc m 3","Food Plant","Cucumis Cuc m 3","21","46396596","7"
"Cucumis melo","Muskmelon","Cuc m 3","Food Plant","Cucumis Cuc m 3","10","46396597","7"
"Cucumis melo","Muskmelon","Cuc m 3","Food Plant","Cucumis Cuc m 3","10","46396598","7"
"Cucumis melo var. inodorus","Muskmelon","Unassigned","Food Plant","Cucumis Cuc m 3","151","171464770","9"
"Brassica juncea","Mustard","Bra j 1","Food Plant","Brassica Bra j 1 2S albumin","129","32363444","9"
"Plantago lanceolata","Narrow-leaved plantain","Pla l 1","Aero Plant","Plantago Pla l 1","131","14422359","7"
"Plantago lanceolata","Narrow-leaved plantain","Pla l 1","Aero Plant","Plantago Pla l 1","131","14422361","7"
"Plantago lanceolata","Narrow-leaved plantain","Pla l 1","Aero Plant","Plantago Pla l 1","131","14422363","7"
"Plantago lanceolata","Narrow-leaved plantain","Unassigned","Aero Plant","Plantago Pla l 1","65","29163773","7"
"Citrus sinensis","Navel orange","Unassigned","Food Plant","Citrus Cit s 1","25","52782810","7"
"Citrus sinensis","Navel orange","Unassigned","Food Plant","Citrus Cit s 2","131","261260074","11"
"Citrus sinensis","Navel orange","Unassigned","Food Plant","Citrus LTP Cit s 3","20","52783177","7"
"Citrus sinensis","Navel orange","Cit s 3","Food Plant","Citrus LTP Cit s 3","91","50199132","7"
"Cucumis melo var. reticulatus","Netted muskmelon","Cuc m 2","Food Plant","Cucumis Cuc m 2","131","57021110","7"
"Mimachlamys nobilis","Noble scallop","Unassigned","Food Animal","Mimachlamys Tropomyosin","284","9954253","7"
"Quercus alba","Oak","Que a 1","Aero Plant","Quercus Que a I","24","543675","7"
"Quercus alba","Oak","Unassigned","Aero Plant","Quercus Que a I","159","167472847","10"
"Quercus alba","Oak","Unassigned","Aero Plant","Quercus Que a I","160","167472849","10"
"Olea europaea","Olive tree","Ole e 1","Aero Plant","Olea Ole e 1","145","14424429","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","137","1362128","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","136","1362129","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","136","1362130","7"
"Olea europaea","Olive tree","Ole e 1.0104","Aero Plant","Olea Ole e 1","145","1362131","7"
"Olea europaea","Olive tree","Ole e 1","Aero Plant","Olea Ole e 1","137","1362132","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","136","1362133","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","136","1362134","7"
"Olea europaea","Olive tree","Ole e 1.0102","Aero Plant","Olea Ole e 1","145","1362135","7"
"Olea europaea","Olive tree","Ole e 1.0103","Aero Plant","Olea Ole e 1","145","1362136","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","136","1362137","7"
"Olea europaea","Olive tree","Ole e 1.0105","Aero Plant","Olea Ole e 1","146","2465127","7"
"Olea europaea","Olive tree","Ole e 1.0106","Aero Plant","Olea Ole e 1","146","2465129","7"
"Olea europaea","Olive tree","Ole e 1.0107","Aero Plant","Olea Ole e 1","146","2465131","7"
"Olea europaea","Olive tree","Ole e 1.0101","Aero Plant","Olea Ole e 1","130","13195753","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","134","37724597","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","135","37724593","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","132","37548753","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","131","33329758","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","132","33329756","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","132","33329754","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","131","33329752","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","131","33329750","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","129","33329748","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","131","33329744","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","132","33329738","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","132","33329732","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","132","33325115","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","140","145313982","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","140","145313984","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","140","145313988","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","140","145313990","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 1","140","145313992","9"
"Olea europaea","Olive tree","Ole e 10","Aero Plant","Olea Ole e 10","123","29465664","7"
"Olea europaea","Olive tree","Ole e 11.0102","Aero Plant","Olea Ole e 11.0101 and 0102","364","68270856","11"
"Olea europaea","Olive tree","Ole e 11.0101","Aero Plant","Olea Ole e 11.0101 and 0102","364","269996495","11"
"Olea europaea","Olive tree","Unassigned","Food Plant","Olea Ole e 13 thaumatin","226","269996497","12"
"Olea europaea","Olive tree","Ole e 2","Aero Plant","Olea Ole e 2","134","3914426","7"
"Olea europaea","Olive tree","Ole e 2","Aero Plant","Olea Ole e 2","134","3914427","7"
"Olea europaea","Olive tree","Ole e 2","Aero Plant","Olea Ole e 2","134","3914428","7"
"Olea europaea","Olive tree","Ole e 3","Aero Plant","Olea Ole e 3","84","3337403","7"
"Olea europaea","Olive tree","Ole e 3","Aero Plant","Olea Ole e 3","52","37725377","7"
"Olea europaea","Olive tree","Ole e 5","Aero Plant","Olea Ole e 5","30","122064581","8"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","145313972","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347106","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","144","160347108","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347112","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347120","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347122","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347124","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347126","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347130","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347134","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160347138","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962543","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962547","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962557","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962577","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962583","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","144","160962587","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962591","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962597","9"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 5","152","160962611","9"
"Olea europaea","Olive tree","Ole e 6","Aero Plant","Olea Ole e 6","50","14423643","7"
"Olea europaea","Olive tree","Ole e 7","Aero Plant","Olea Ole e 7","21","22002032","7"
"Olea europaea","Olive tree","Ole e 8","Aero Plant","Olea Ole e 8","171","6901654","7"
"Olea europaea","Olive tree","Ole e 8","Aero Plant","Olea Ole e 8","171","14423648","7"
"Olea europaea","Olive tree","Ole e 9","Aero Plant","Olea Ole e 9","460","14279169","7"
"Olea europaea","Olive tree","Unassigned","Aero Plant","Olea Ole e 9","101","166235350","9"
"Dactylis glomerata","Orchard grass","Dac g 1","Aero Plant","Dactylis Dac g 1","264","18093991","7"
"Dactylis glomerata","Orchard grass","Unassigned","Aero Plant","Dactylis Dac g 1","240","33149333","7"
"Dactylis glomerata","Orchard grass","Dac g 2","Aero Plant","Dactylis Dac g 2","196","1093120","7"
"Dactylis glomerata","Orchard grass","Dac g 2","Aero Plant","Dactylis Dac g 2","122","4007040","7"
"Dactylis glomerata","Orchard grass","Unassigned","Aero Plant","Dactylis Dac g 3","96","14423759","8"
"Dactylis glomerata","Orchard grass","Unassigned","Aero Plant","Dactylis Dac g 4","12","32363464","7"
"Dactylis glomerata","Orchard grass","Unassigned","Aero Plant","Dactylis Dac g 4","11","32363465","7"
"Dactylis glomerata","Orchard grass","Unassigned","Aero Plant","Dactylis Dac g 4","17","32363466","7"
"Dactylis glomerata","Orchard grass","Unassigned","Aero Plant","Dactylis Dac g 4","15","32363467","7"
"Dactylis glomerata","Orchard grass","Dac g 5","Aero Plant","Dactylis Dac g 5","290","14423124","7"
"Dactylis glomerata","Orchard grass","Dac g 5","Aero Plant","Dactylis Dac g 5","265","18093971","7"
"Carica papaya","Papaya","Unassigned","Food Plant","Carica Car p 1","345","129614","9"
"Polistes annularis","Paper wasp","Pol a 1","Venom or Salivary","Polistes Pol a 1","301","14423833","7"
"Polistes annularis","Paper wasp","Pol a 2","Venom or Salivary","Polistes Pol a 2","367","14423735","7"
"Polistes annularis","Paper wasp","Pol a 5","Venom or Salivary","Polistes Venom allergen 5","209","160780","7"
"Polistes dominulus","Paper wasp","Unassigned","Venom or Salivary","Polistes Pol a 1","316","45510893","7"
"Polistes dominulus","Paper wasp","Unassigned","Venom or Salivary","Polistes Pol a 1","316","45510891","7"
"Polistes dominulus","Paper wasp","Unassigned","Venom or Salivary","Polistes Pol a 1","316","45510889","7"
"Polistes dominulus","Paper wasp","Unassigned","Venom or Salivary","Polistes Pol a 1","337","45510887","7"
"Polistes dominulus","Paper wasp","Pol d 5","Venom or Salivary","Polistes Venom allergen 5","227","51093377","7"
"Polistes dominulus","Paper wasp","Unassigned","Venom or Salivary","Polistes Venom serine protease","277","30909091","7"
"Polistes exclamans","Paper wasp","Pol e 5","Venom or Salivary","Polistes Venom allergen 5","205","549187","7"
"Polistes exclamans","Paper wasp","Unassigned","Venom or Salivary","Polistes Venom allergen 5","226","51093375","7"
"Polistes fuscatus","Paper wasp","Pol f 5","Venom or Salivary","Polistes Venom allergen 5","205","549188","7"
"Polistes gallicus","Paper wasp","Unassigned","Venom or Salivary","Polistes Pol a 1","42","41017429","7"
"Polistes gallicus","Paper wasp","Pol g 5","Venom or Salivary","Polistes Venom allergen 5","206","25091511","7"
"Hevea brasiliensis","Para rubber tree","Hev b 1","Contact","Hevea Hev b 1","138","132270","7"
"Hevea brasiliensis","Para rubber tree","Hev b 10.0101","Contact","Hevea Hev b 10","233","348137","7"
"Hevea brasiliensis","Para rubber tree","Hev b 10.0102","Contact","Hevea Hev b 10","205","5777414","7"
"Hevea brasiliensis","Para rubber tree","Hev b 10.0103","Contact","Hevea Hev b 10","205","10862818","7"
"Hevea brasiliensis","Para rubber tree","Hev b 11","Contact","Hevea Hev b 11","295","14575525","7"
"Hevea brasiliensis","Para rubber tree","Hev b 12","Contact","Hevea Hev b 12","116","20135538","7"
"Hevea brasiliensis","Para rubber tree","Unassigned","Contact","Hevea Hev b 13","391","51315784","9"
"Hevea brasiliensis","Para rubber tree","Unassigned","Contact","Hevea Hev b 14 hevamine","208","313870530","12"
"Hevea brasiliensis","Para rubber tree","Hev b 2","Contact","Hevea Hev b 2","374","1184668","7"
"Hevea brasiliensis","Para rubber tree","Hev b 2","Contact","Hevea Hev b 2","374","32765543","7"
"Hevea brasiliensis","Para rubber tree","Unassigned","Contact","Hevea Hev b 2","374","124294783","8"
"Hevea brasiliensis","Para rubber tree","Unassigned","Contact","Hevea Hev b 2","374","124294785","8"
"Hevea brasiliensis","Para rubber tree","Unassigned","Contact","Hevea Hev b 2","374","124365249","8"
